verdict	coinage	rank	freq	loanword	en	coinage_means	frequency_belongs_to	confidence	note
valid	դոնդող	14454	1	Ժելե	jelly	jelly / aspic	the coinage itself — single occurrence is its glossary headword (ghamoyan p106, paired желатин/желе→դոնդող)	high	freq=1; p106 PREV 'ժելատին' THIS 'դոնդող' NEXT 'իկրա' — appears as the native equivalent in ghamoyan's own glossary. Correct 'jelly/aspic' sense (matches Ժելե/желе). No homograph; freq is the self-referential dictionary listing.
valid	նարդոս	14513	1	Լավանդ(ա)	lavender	lavender / spikenard	the coinage itself — single occurrence is its glossary headword (ghamoyan p107, paired лаванда→նարդոս)	high	freq=1; p107 PREV 'լավանդա' THIS 'նարդոս'. Native equivalent for lavender in ghamoyan's own glossary. Correct word/sense (matches Լավանդա/лаванда/lavender), no homograph; the count is the dictionary entry itself.
valid	առցանց	14570	1	Օնլայն	online	online	the coinage itself — single occurrence is its glossary headword (ghamoyan p108, paired он-лайн→առցանց)	high	freq=1; p108 PREV 'օն-լայն' THIS 'առցանց' NEXT 'օֆ-լայն'. The native 'online' coinage in ghamoyan's own glossary; correct sense (Օնլայն/онлайн/online). No homograph. (առցանց is in fact now a widespread modern term, but here freq is just the dictionary entry.)
valid	ձայներիզ	14575	1	Կասետ	cassette	cassette / audio tape	the coinage itself — single occurrence is its glossary headword (ghamoyan p108, paired кассет→ձայներիզ)	high	freq=1; p108 PREV 'կասետ' THIS 'ձայներիզ'. Native equivalent for cassette in ghamoyan's own glossary; correct 'audio-tape/cassette' sense (Կասետ/кассета/cassette). No homograph; count is the dictionary listing.
valid	կոճգամ	14578	1	Կնոպկա	pin	drawing pin / thumbtack	the coinage itself — single occurrence is its glossary headword (ghamoyan p108, paired кнопка→կոճգամ)	high	freq=1; p108 PREV 'կնոպկա' THIS 'կոճգամ' NEXT 'պապկա'. Native equivalent for 'pin/thumbtack' in ghamoyan's own glossary; matches Կնոպկա/кнопка/pin. No homograph; the frequency is the dictionary entry itself.
valid	գրավատուն	14619	1	Լոմբարդ	pawnshop	pawnshop (native compound գրավ 'pledge' + ատուն 'house')	գրավատուն itself — the coinage in its native pawnshop meaning	medium	freq=1 from ghamoyan only; the single occurrence is the dictionary's own headword column (page 109, x=213.18 ArianAMU, the coinage column of the neologism dictionary being processed). No homograph, no russified-loanword leakage — but the count is a degenerate self-citation, not independent corpus frequency. Lemmatiser maps to itself.
valid	հարմարավետություն	14631	1	Կոմֆորտ	comfort	comfort (հարմարավետ 'comfortable' + -ություն)	հարմարավետություն itself — the coinage in its native 'comfort' meaning	medium	freq=1, ghamoyan p109 x=213.18 — the dictionary's own coinage column. Genuine native synonym for комфорт; no homograph and no loanword usage. Count is self-citation from the source dictionary, so reflects the coinage but not real-world frequency.
valid	մանրակերտ	14638	1	Մակետ	layout	layout / scale model / maquette (մանր 'small' + կերտ 'made')	մանրակերտ itself — the coinage in its native 'layout/model' meaning	medium	freq=1, ghamoyan p109 x=213.18, dictionary headword column. Correct native word for макет; no homograph collision, no russified usage. Degenerate self-citation frequency.
valid	վարկանիշ	14690	1	Ռեյտինգ	rating	rating (վարկ 'credit/standing' + անիշ); the standard modern Armenian word for 'rating'	վարկանիշ itself — the coinage in its native 'rating' meaning	high	freq=1, ghamoyan p110 x=213.18 (dictionary coinage column). This is an established standard word for рейтинг, not a homograph and not the loanword. Lemmatiser maps to itself; only ghamoyan-dictionary occurrence, so freq is self-citation, but the match is unambiguously this word in this sense.
valid	ոստնակ	14708	1	Տրամպլին	springboard	springboard / diving board (root ոստ- 'leap')	ոստնակ itself — the coinage in its native 'springboard' meaning	medium	freq=1, ghamoyan p110 (text 'ցատկահարթակ, ոստնակ' x=213.18) — the dictionary's coinage column listing two native synonyms for трамплин. No homograph, no loanword. Note near-homograph ոտնակ 'pedal' appears separately on same page (p110, x=213.18, distinct spelling, no ս) — not colliding here. Self-citation freq.
valid	ընկճախտ	14716	1	Դեպրեսիա	depression	depression (clinical) — ընկճ- 'depress/oppress' + ախտ 'disease/affliction'	ընկճախտ itself — the coinage in its native 'depression' meaning	medium	freq=1, ghamoyan p110 x=213.18 coinage column. Transparent native compound for депрессия; no homograph and no russified usage. Frequency is the dictionary's own headword self-citation.
valid	հոդաբորբ	14727	1	Արթրիտ	arthritis	arthritis — հոդ 'joint' + բորբ(ոք) 'inflammation'	հոդաբորբ itself — the coinage in its native 'arthritis' meaning	medium	freq=1, ghamoyan p110 x=213.18 coinage column. Correct native medical compound for артрит; no homograph, no loanword. Degenerate self-citation count.
valid	երիկամաբորբ	14750	1	Նեֆրիտ	jade	nephritis (kidney inflammation) — երիկամ 'kidney' + բորբ 'inflammation'. NB the en field 'jade' is a mistranslation of нефрит's other sense; medically нефрит=nephritis, which the coinage targets.	երիկամաբորբ itself — the coinage in its native 'nephritis' meaning	medium	freq=1, ghamoyan p111 x=213.18 coinage column. Native compound for the medical sense of нефрит (nephritis), not the mineral 'jade' in the en field. No homograph, no russified usage; self-citation frequency.
valid	բնախոս	14844	1	Ֆիզիոլոգ	physiologist	physiologist — բն(ություն) 'nature' + խոս 'speaking/discoursing'; paired with բնախոսություն 'physiology'	բնախոս itself — the coinage in its native 'physiologist' meaning	medium	freq=1, ghamoyan p112 x=213.18 coinage column, with բնախոսություն 'physiology' on the next line — confirms the physiology/physiologist sense for физиолог. No homograph, no loanword. Self-citation frequency from the source dictionary.
partial	միավոր	365	30	Բալ	point	point/score (балл) — a unit of grading	same lemma but dominant frequent sense is 'unit' (լեզվական/դարձվածային միավոր) and միավորվել/միավորում 'unite/union'	high	Surface «միավոր» is a real common word, but corpus occurrences are almost entirely 'linguistic unit' (լեզվական միավոր), 'phraseological unit' (դարձվածային միավոր), and միավորվել/միավորում 'unite/union' — driven by sakayan's linguistics text. The coinage sense 'point/score' (балл) is a minority/absent reading. Same lemma, different dominant sense -> partial.
partial	կոչ	1757	7	Լոզունգ	slogan	appeal / call-to-action, proposed for слоган/lozung 'slogan'	the verb կոչել/կոչվել 'to call / to be named' (conjugation paradigm) plus անկոչ 'uninvited', վկայակոչել 'to cite'	medium	freq=7 row for bare «կոչ» is largely contaminated by sakayan's verb-conjugation tables for կոչվել/կոչել (p178-179: Կոչվում եմ/ես/է...) and substrings (անկոչ, վկայակոչել). The noun կոչ 'appeal/call' (the slogan-coinage sense) is barely attested standalone. Same root, but dominant frequent forms are the verb 'to be called/named', not the noun -> partial.
partial	հատված	2561	5	Սեկտոր	sector	section/segment/part (intended: sector)	հատված — section/segment/faction	medium	Same lemma, but dominant frequent sense is 'section/faction' (եկեղեցու երկու հատվածների միջև = 'between the two sections/factions of the church') and 'excerpt/passage' (Հատված Դորա Սաքայանի). The targeted technical sense Սեկտոր/сектор 'sector' overlaps only partially; the corpus usage is the general 'part/segment' sense, not the technical sector sense.
partial	տարածություն	2592	5	Ինտերվալ	interval	distance/space/expanse (intended: interval)	տարածություն — distance/space	medium	Same lemma but the frequent sense is spatial 'distance/space' (երկար տարածություն վազած մարդու = 'a man who ran a long distance'), not the intended Ինտերվալ/интервал 'interval' (temporal/spacing) sense. Sense collision: frequency reflects the common 'space/distance' meaning, not the coinage's intended 'interval'.
partial	դահլիճ	2602	5	Կաբինետ	cabinet	hall/auditorium (intended: cabinet/office)	դահլիճ — hall/auditorium	medium	All corpus hits mean 'hall/auditorium' (Ռեստորանի ընդարձակ դահլիճը = 'the spacious hall of the restaurant'; theater audience 'դահլիճը'). The loanword pairing Կաբինետ/кабинет means 'office/study room' — դահլիճ does NOT carry that meaning. Same surface form but the frequency belongs to the 'hall' sense, a mismatch with the intended 'cabinet/office' loanword sense.
partial	կռիվ	2643	5	Սկանդալ	scandal	fight/battle/quarrel (intended: scandal/row)	կռիվ — fight/battle/war	medium	Frequent sense is literal 'battle/fight/war' (Սարդարապատի կռիվներում = 'in the battles of Sardarapat') and colloquial 'fight/row' (Թունդ կռիվ ա գնում = 'a fierce fight is going on', topics/morphology/present_tense.md). Overlaps colloquially with Սկանդալ/скандал 'scandal/row' but the dominant frequent sense is the general 'fight/battle' meaning, not specifically 'scandal'.
partial	կորիզ	3301	4	Ատոմ	atom	proposed as native term for 'atom' (Ատոմ/атом)	կորիզ in its native 'core / kernel / pit / nucleus' sense, not 'atom'	high	Same lemma, but the frequent corpus sense is the ordinary native 'core/kernel'. ghamoyan p45: 'կորիզն են կազմում մեր ժողովրդի կենցաղն ու սովորույթները' = 'form the CORE'. None of the hits use it for 'atom'. The freq reflects the dominant 'core/pit' sense, not the atom-replacement coinage sense → partial (sense mismatch).
partial	ուխտ	4203	3	Պակտ	pact	pact (intended); native ուխտ = vow / oath / covenant / pilgrimage	ուխտ — but in the dominant 'vow/covenant/pilgrimage' sense, not 'political pact'	medium	freq=3 lemma is clean (lemmatizer separates ապուխտ=3, զմրուխտ=2, ուխտավոր=1; the query_kb substring hits to ապ/զմր/ուխտավոր are NOT this lemma). Actual ուխտ usage: sakayan p423 'դրժել յուր ուխտը' = break his vow/covenant. Same lemma, but the frequent attested sense is 'vow/oath/covenant', semantically adjacent to but not identical with the intended political 'pact'. Lemma correct, dominant sense skewed → partial.
partial	թիթեղ	4398	3	Կանիստր	tank	canister / tank (intended); native թիթեղ = tin / sheet-metal / tinplate	թիթեղ — in the 'tin / sheet-metal' material sense, not 'canister'	medium	freq=3 (ghamoyan+sakayan). Corpus: 'Թիթեղյա վառարան' (tin stove), 'Թիթեղածածկ տներ' (tin-roofed houses), '(թիթեղ)' ghamoyan p54, 'փայլաթիթեղ' (foil). The frequency reflects թիթեղ = 'tin/sheet metal', the material — not 'canister'/'tank' container (канистра). Same lemma, the dominant frequent sense differs from the intended coinage meaning → partial.
partial	կայք	5189	2	Սայթ	site	site / website (интended, сайт)	կայք — in the older 'abode / holdings / property' sense; the 'website' sense is carried by separate lemma կայքէջ	medium	freq=2 lemma կայք is cleanly separated by the lemmatizer from կայքէջ=4 ('website'), շրջակայք=2 ('surroundings'), կայքեր=1, մոտակայք=1. The bare-կայք corpus hits: sakayan p302 standalone 'կայք', and p431 'կայքերը և բանկային թղթերն ու ստանալիքները հանձնում' = holdings/property/papers, NOT a website. The internet 'сайт/site' coinage actually relies on կայք(էջ); the freq=2 for bare կայք largely reflects the classical 'abode/holdings' sense → partial (same lemma, different dominant sense).
partial	պաստառ	5429	2	Էկրան	screen	screen (intended, экран); native պաստառ = banner / poster / canvas	պաստառ — in the 'banner / poster / canvas' sense, not 'screen'	medium	freq=2 (sakayan p392, ghamoyan p108). Corpus: sakayan «Կարմիր պաստառ» = 'Red Banner/Poster' (Manouchian's anti-fascist group), and standalone պաստառ. The frequent attested sense is 'banner/poster/canvas', not the coinage 'screen' (экран). Same lemma, dominant sense differs from intended → partial.
partial	եզր	6467	2	Տերմին	term	term (terminology); proposed replacement for 'термин'	եզր 'edge / border / brink / boundary' (the native polysemous noun)	high	freq=2 from ghamoyan. The two եզր-lemma hits are 'եզր՝' (point/terminus) and 'եզրին' ('at the edge/border of the literary language'). եզր is a high-polysemy native noun dominated by 'edge/border/brink'; the 'term/terminology' sense (the coinage target) is secondary and not clearly what the frequent tokens carry. Same lemma but the dominant frequent sense is 'edge', not the loanword 'term' — partial.
partial	բառացանկ	6898	2	Նոմենկլատուրա	nomenclature	nomenclature (номенклатура)	բառացանկ in its literal 'word-list / glossary' sense ('Նման բառացանկ', 'բառացանկով')	medium	freq=2 from ghamoyan: 'Նման բառացանկ տե[ս]' and 'Սույն բառացանկով' — used in the transparent literal sense 'word-list/glossary' (the book's own term-list), not the technical 'nomenclature' (номенклатура) the coinage targets. Same lemma, but the attested frequent sense ('glossary') differs from the loanword sense — partial.
partial	մանրամաս	8538	1	Դետալ	spare part	spare part, detail/component (proposed for Դետալ / деталь / spare part)	մանրամասն 'detail, in detail' (abstract) — line-break-truncated «մանրամաս-»	high	freq=1 source is «մանրամաս-» at sakayan p382, a hyphenated line-break truncation of մանրամասն 'detail/in detail' (abstract; that lemma is separately ranked 4429, freq=3). The frequent sense is the abstract 'detail/particular', NOT the intended physical 'spare part / component'. Same root, divergent dominant sense + truncation artifact -> partial, not a clean coinage match.
partial	շնորհավորանք	9173	1	Պրեզենտացիա	presentation	congratulation, felicitation, greeting (from շնորհավորել 'to congratulate')	շնորհավորանք in the 'congratulation' sense, NOT 'presentation'	high	freq=1, sakayan only. The single corpus occurrence (sakayan p400: 'ստանալ ձեր շնորհավորանքը' = 'to receive your congratulations') is the congratulation sense. The coinage is proposed for Պրեզենտացիա/презентация/presentation, but neither the attested usage nor the word's actual meaning is 'presentation' — same lemma, but the attested/dominant sense diverges from the intended loanword meaning. The freq genuinely belongs to this word, just not to the 'presentation' meaning.
partial	երիզ	10726	1	Կասետ	cassette	band, ribbon, strip, edging; also tape (cf. ձայներիզ 'audio tape')	երիզ — but the counted occurrence is the 'ribbon/edging' sense, not the 'tape/cassette' sense	medium	freq=1, sakayan only (rank 10726). Corpus shows երիզ inside ձայներիզ 'audio tape' (sakayan p108) — which supports the tape sense the coinage targets — but the standalone counted occurrence is 'կարմիր երիզով' (with red ribbon/edging, sakayan p444), the ribbon/trim sense. Same native lemma with a real tape sense attested, but the dominant/counted occurrence is the ribbon sense, not cassette. Partial: right lemma, sense the freq token instantiates differs from the intended Կասետ/cassette meaning.
partial	մասնակից	11415	1	Ակցիոներ	shareholder	participant; (proposed) shareholder	մասնակից 'participant' (the ordinary, common sense)	medium	freq=1 sakayan hit is a bare wordlist token 'մասնակից'; in real usage (tioyan p281 'Մասնակիցները/Համաժողովի մասնակիցները') the word means 'participant', NOT 'shareholder' (which is բաժնետեր). Same lemma, but the dominant/attested sense is 'participant', not the loanword акционер. So the rank does not reflect the shareholder coinage sense.
partial	նիշ	11456	1	Բալ	point	mark / sign / character / grade; (proposed) balls/point (grade)	compound forms (ցուցանիշ, հատկանիշ, դրոշմանիշ, եզրանիշ, համանիշ) — bare նիշ is rare	medium	freq=1 (sakayan). All 76 corpus occurrences of the substring նիշ are compounds (ցուցանիշ 'index', հատկանիշ 'trait', դրոշմանիշ 'stamp', եզրանիշ, համանիշ); the standalone freq=1 source (p372) is actually 'համանիշ'. նիշ does legitimately carry 'mark/grade' overlapping балл/point, but the count is essentially compound-driven, not the bare grade-sense coinage. Same lemma, thin/wrong-driver attestation.
partial	փիլիսոփայություն	12166	1	Դոկտրին	doctrine	philosophy	փիլիսոփայություն 'philosophy' — same lemma, but the 'philosophy' sense, not 'doctrine'	high	freq=1, ghamoyan only. The single hit (p25) glosses student slang: «փիլո»՝ փիլիսոփայություն = the abbreviation 'philo' for 'philosophy'. So the frequent sense is literally 'philosophy', but the loanword/intended meaning here is Դոկտրին/доктрина/doctrine. Same word, dominant attested sense ≠ the targeted loanword sense (philosophy ⊃ doctrine but not equal). Sense mismatch → partial, not a clean valid match for 'doctrine'.
partial	անջրպետ	12298	1	Ինտերվալ	interval	gap, chasm, void, gulf (also airless space)	անջրպետ 'gap/chasm' — same lemma, figurative-distance sense, not technical 'interval'	high	freq=1, ghamoyan only. Hit (p35): 'որ դրանց միջև այժմ հսկայական անջրպետ կա' = 'a huge gap/chasm now exists between them' — figurative distance. Loanword Ինտերվալ/интервал/interval. The attested sense is 'gap/gulf', which only partially overlaps 'interval'; the corpus usage is the gap/chasm sense, not a measured 'interval'. Same word, partial sense overlap → partial.
partial	խրտվիլակ	12475	1	Մարիոնետ	Marionette	scarecrow (figuratively also puppet/marionette)	խրտվիլակ 'scarecrow' — same lemma, but cited in a phonetic-variant list, not in the 'marionette' sense	high	freq=1, ghamoyan only. The single hit (p39) is a colloquial-pronunciation example list: 'գցել-քցել, խրտվիլակ-խրթվիլակ, երեկ-էրեգ...' — it appears purely to illustrate the խ/խթ pronunciation variant, in the literal 'scarecrow' word. Loanword Մարիոնետ/марионетка/marionette targets the figurative puppet sense. Same lemma, but the attested occurrence is the base word in a phonetics example, not the marionette coinage sense → partial.
partial	բնախոսություն	14846	1	Ֆիզիոլոգիա	physiology	physiology (native compound: բնա- 'nature' + խոսություն 'discourse'), proposed to replace Ֆիզիոլոգիա/физиология	the coinage itself, but only as a self-referential entry in ghamoyan's own neologism glossary (p112, science/scholarship list), not genuine corpus usage	high	freq=1, sole occurrence is on ghamoyan p112 — the dictionary's own loanword→coinage listing (header 'ՄԱՐԴԿԱՅԻՆ ՀԱՏԿԱՆԻՇՆԵՐ, ԳՈՐԾՈՒՆԵՈՒԹՅՈՒՆ, ԳԻՏՈՒԹՅՈՒՆ'). Same lemma & meaning, no homograph, but rank is a dictionary-self-reference artifact, not real frequency.
partial	բաժնետեր	14850	1	Ակցիոներ	shareholder	shareholder (native: բաժնե- 'share' + -տեր 'holder/owner'), proposed to replace Ակցիոներ/акционер	the coinage itself, but only as a self-referential entry in ghamoyan's own glossary (p112), not genuine usage	high	freq=1, sole occurrence ghamoyan p112 in the loanword→coinage listing. Correct lemma & meaning, no homograph; rank is a self-listing artifact. (Note բաժնետեր is in fact a normal modern Armenian word; freq=1 undercounts.)
partial	կուտակիչ	14889	1	Ակումուլյատոր	battery, accumulator	battery/accumulator (native agentive: կուտակ- 'accumulate' + -իչ), proposed to replace Ակումուլյատոր/аккумулятор	the coinage itself, only as the ghamoyan glossary entry 'ակումուլյատոր, կուտակիչ' (p113, machines/cars list)	high	freq=1, sole occurrence ghamoyan p113 where it is listed directly beside its loanword 'ակումուլյատոր'. Same lemma & meaning, no homograph, but the count is a dictionary self-reference, not real frequency.
partial	մեղմիչ	14891	1	Բուֆեր	buffer	buffer/softener (native: մեղմ- 'mild/soft' + -իչ), proposed to replace Բուֆեր/буфер	the coinage itself, only as the ghamoyan glossary entry (p113, machines/cars list, beside 'ամորտիզատոր')	high	freq=1, sole occurrence ghamoyan p113 in the loanword→coinage listing. Correct lemma/meaning, no homograph; rank is a self-listing artifact. (մեղմիչ is a generic '-er/softener' agentive and could collide elsewhere, but the single attested token here is the coinage entry.)
partial	ավտոտնակ	14908	1	Գարաժ	garage	garage (native compound: ավտո- 'auto' + տնակ 'small house/shed'), proposed to replace Գարաժ/гараж	the coinage itself, only as the ghamoyan glossary entry pairing 'գառաժ → ավտոտնակ' (p113)	high	freq=1, sole occurrence ghamoyan p113, directly glossing loanword 'գառաժ'. Same lemma & meaning, no homograph; rank is a dictionary self-reference. (ավտոտնակ is a normal modern word; freq=1 undercounts.)
partial	կարգավար	14912	1	Դիսպետչեր	dispatcher	dispatcher (native: կարգ 'order' + -ավար 'director/conductor'), proposed to replace Դիսպետչեր/диспетчер	the coinage itself, only as the ghamoyan glossary entry pairing 'դիսպետչեր → կարգավար' (p113)	high	freq=1, sole occurrence ghamoyan p113, directly glossing loanword 'դիսպետչեր'. Correct lemma & meaning, no homograph; rank is a self-listing artifact.
partial	պահեստամաս	14917	1	Դետալ	spare part	spare part (native compound: պահեստ 'store/reserve' + մաս 'part'), proposed to replace Դետալ/деталь (Russ. запчасть)	the coinage itself; both occurrences are ghamoyan meta-linguistic glosses — p113 glossary ('զապչաստ → պահեստամաս') and p54 prose listing 'զապչաստ (պահեստամաս)' among craftsmen's loanwords	high	freq=1 but two attestations, BOTH author glossing the loanword (p113 glossary; p54 '...զապչաստ (պահեստամաս)...' in a discussion of unnecessary loanwords). No homograph, correct meaning, but every occurrence is a self-referential coinage gloss, not independent usage. պահեստամաս is a normal modern word; freq undercounts.
partial	արժույթ	14964	1	Վալյուտա	currency	currency (native: արժ- 'worth/value' + -ույթ), given against loanword Վալյուտա/валюта	the coinage/word itself, but the freq=1 token is only the ghamoyan p113 glossary entry; the word's TRUE frequency is far higher (well-established term)	high	freq=1, sole all_lemmas occurrence is ghamoyan p113 glossary. But արժույթ is NOT a rare neologism — it is a standard, attested Armenian financial term (topics/lexicon/currency_exchange.md, արտարժույթ, tioyan p257). Same lemma & meaning, no homograph; the rank 14964/freq=1 grossly undercounts a common word because the corpus only happens to list it once. Mark partial: real word, artifactual count.
homograph	արի	357	30	Սկաուտ	scout	Scout (the youth-movement name proposed to replace Սկաուտ/скаут)	imperative «արի» = 'come!' (of գալ)	high	Corpus usage of «արի» is overwhelmingly the imperative 'come!' (դուս արի, արի տես, արի ու տես, Ներս արի, շո՜ւտ արի), plus the conjugation paradigm of անել (արի/արեցիր/արեց) and incidental substrings (արիստոկրատ, Փարիզյան). None of the 30 hits is the Scout-name coinage. Canonical homograph case.
homograph	արմատական	6729	2	Ռադիկալ	radical	radical (extreme / far-reaching); replacement for 'радикальный'	արմատական 'root- / etymological' (adj. of արմատ 'root'), as in «Հայերեն արմատական բառարան» 'Armenian Etymological/Root Dictionary'	high	freq=2 from ghamoyan; the attested use is the title «Հայերեն արմատական բառարան» = 'Armenian Root/Etymological Dictionary'. There արմատական = 'pertaining to roots, etymological', a different sense from the coinage's intended 'radical/extreme (радикальный)'. Same surface form, different word/sense — the rank belongs to the 'root-adjective' homograph, not the 'radical' coinage.
homograph	մանիա	8895	1	Մանիա	persecution mania	mania, persecution mania (the coinage equals the loanword itself: Մանիա / мания / persecution mania)	Գերմանիա 'Germany' (substring false-positive)	high	Surface-form frequency is dominated by «Գերմանիա/Գերմանիայի» (Germany), where 'մանիա' is a mere substring. Only one borderline real token «մանիայի» exists, and even that is the borrowed term (the coinage here IS identical to the loanword мания, so there is no native-coinage to credit). The rank is essentially a Գերմանիա substring collision -> homograph.
