rank	word	en	ru	ex1	ex2
345	բարձր	high	высокий	Սա բարձր շենք է — Это высокое здание	Սարերը շատ բարձր են — Горы очень высокие
346	ստանալ	to receive	получать	Նամակ ստացա — Я получил письмо	Աշխատավարձս ստացա — Я получил зарплату
347	ձյուն	snow	снег	Ձյուն է գալիս — Идёт снег	Ձյունը ծածկեց քաղաքը — Снег покрыл город
348	փողոց	street	улица	Մենք ապրում ենք այս փողոցում — Мы живём на этой улице	Փողոցը զգույշ անցիր — Осторожно переходи улицу
349	գյուղ	village	деревня, село	Տատիկս գյուղում է ապրում — Моя бабушка живёт в деревне	Նրանք գյուղից են — Они из деревни
350	բարև	hello	привет	Բարև, ինչպե՞ս ես — Привет, как ты?	Բարև ձեզ — Здравствуйте
351	ահա	here, behold	вот, гляди	Ահա իմ տունը — Вот мой дом	Ահա և վերջ — Вот и всё
352	կար	there was (past of կա); sewing (կար ու ձև — tailoring)	было; шитьё	Սեղանին մի գիրք կար — На столе была книга	Նա կար ու ձև է սովորում — Она учится шитью и крою
353	գիտություն	science	наука	Նա գիտությամբ է զբաղվում — Он занимается наукой	
354	խնդիր	request	просьба	Մի խնդիր ունեմ քեզնից — У меня к тебе просьба	
355	սովորաբար	usually	обычно	Սովորաբար շուտ եմ արթնանում — Обычно я просыпаюсь рано	
356	միտք	brains, mind, intellect; reflection, thinking	ум; мысль	Լավ միտք է — Хорошая мысль	Միտքս փոխեցի — Я передумал
357	նկատել	to note	замечать	Ես նրան չնկատեցի — Я его не заметил	Տեքստում սխալ նկատեցի — Я заметил ошибку в тексте
358	հարուստ	rich	богатый	Նա հարուստ ընտանիքից է — Он из богатой семьи	Հայերենը հարուստ լեզու է — Армянский богатый язык
359	նույնիսկ	even	даже	Նույնիսկ երեխան դա գիտի — Даже ребёнок это знает	
360	ազգային	national	национальный	Սա մեր ազգային տոնն է — Это наш национальный праздник	
361	գործել	to function, work, operate; to act	действовать, работать	Վերելակը չի գործում — Лифт не работает	Օրենքը գործում է — Закон действует
362	հակառակ	despite	вопреки, несмотря на	Հակառակ դրան, նա համաձայնեց — Несмотря на это, он согласился	
363	րոպե	minute	минута	Հինգ րոպեից այնտեղ եմ — Через пять минут я там	Տասը րոպե ուշացա — Я опоздал на десять минут
364	երեկ	yesterday	вчера	Երեկ անձրև էր գալիս — Вчера шёл дождь	
365	ոչինչ	nothing	ничего	Ոչինչ չեմ ուզում — Я ничего не хочу	Ոչինչ, մի անհանգստացիր — Ничего, не волнуйся
366	նախ	first, in the first place, firstly	сначала, во-первых	Նախ մտածիր, հետո խոսիր — Сначала подумай, потом говори	
367	գետ	river	река	Գետը հոսում է քաղաքի միջով — Река течёт через город	
368	կանաչ	green	зелёный	Խոտը կանաչ է — Трава зелёная	
369	փոխ	loan, borrowing	заём; взаймы	Փող փոխ տվեցի ընկերոջս — Я одолжил другу деньги	Նրանից փող փոխ վերցրի — Я взял у него деньги взаймы
370	հաճախակի	frequent	частый	Նրա այցերը հաճախակի դարձան — Его визиты стали частыми	
371	տարածված	common, widespread	распространённый	Սա տարածված անուն է — Это распространённое имя	
372	հասարակություն	society	общество	Հասարակությունը փոխվում է — Общество меняется	
373	ուսումնական	academic, school	учебный, школьный	Ուսումնական տարին սկսվեց — Учебный год начался	
374	գարուն	spring	весна	Գարունը եկավ — Весна пришла	Գարնանը ծաղիկները բացվում են — Весной распускаются цветы
375	դիմել	to apply	обращаться	Բժշկին դիմիր — Обратись к врачу	Համալսարան եմ դիմել — Я подал документы в университет
376	ազատ	free	свободный	Այս տեղն ազա՞տ է — Это место свободно?	Այսօր ես ազատ եմ — Сегодня я свободен
377	սպասել	to wait; to expect, await	ждать	Քեզ եմ սպասում — Я жду тебя	Ինձ մի սպասիր — Не жди меня
378	չէինք	weren't (1pl)	мы не были	Մենք տանը չէինք — Нас не было дома	Դրան չէինք սպասում — Мы этого не ожидали
379	պահ	moment, instant	момент, миг	Մի պահ, հիմա կգամ — Минутку, сейчас приду	Այդ պահին ես քնած էի — В тот момент я спал
380	տեղի	place	место	Հանդիպումը տեղի կունենա վաղը — Встреча состоится завтра	
381	այլև	also, moreover	также, к тому же	Ոչ միայն ես, այլև դու — Не только я, но и ты	
382	շրջան	circle	круг	Երեխաները շրջան կազմեցին — Дети образовали круг	
383	բնույթ	nature, character	характер, природа	Խնդիրը լուրջ բնույթ ունի — Проблема имеет серьёзный характер	
384	գործածել	to utilize, employ, make use of, use	употреблять, использовать	Այս բառը հաճախ են գործածում — Это слово часто употребляют	
385	քերականական	grammatical	грамматический	Սա քերականական սխալ է — Это грамматическая ошибка	
386	հատկանիշ	characteristic, distinctive, peculiar, idiosyncratic	признак, черта	Դա նրա գլխավոր հատկանիշն է — Это его главная черта	
387	գույն	color	цвет	Ի՞նչ գույն ես սիրում — Какой цвет ты любишь?	Երկնքի գույնը փոխվեց — Цвет неба изменился
388	կարմիր	red	красный	Կարմիր խնձոր եմ ուզում — Хочу красное яблоко	Նա կարմիր զգեստ է հագել — Она надела красное платье
389	ոտք	foot, leg	нога	Ոտքս ցավում է — У меня болит нога	Ոտքով ենք գնում — Мы идём пешком
390	ուժ	strength	сила	Նա մեծ ուժ ունի — У него большая сила	Ուժ չունեմ — У меня нет сил
391	պահել	to keep	держать, хранить	Փողը տանն եմ պահում — Я храню деньги дома	Երեխային ամուր պահիր — Крепко держи ребёнка
392	պատճառ	reason, cause	причина	Ի՞նչ պատճառով ուշացար — По какой причине ты опоздал?	Դրա պատճառը չգիտեմ — Я не знаю причину этого
393	ասա	say! (imp. of ասել)	скажи!	Ասա, թե ինչ ես ուզում — Скажи, что ты хочешь	Ճիշտն ասա — Скажи правду
394	սուրբ	holy, sacred	святой	Սա սուրբ վայր է — Это святое место	
395	ձուկ	fish	рыба	Ընթրիքին ձուկ կերանք — На ужин мы ели рыбу	Գետում շատ ձուկ կա — В реке много рыбы
396	երգել	to sing	петь	Նա գեղեցիկ է երգում — Она красиво поёт	Միասին երգ երգեցինք — Мы вместе спели песню
397	երես	face	лицо	Երեսդ լվա — Умой лицо	Երեսը կարմրեց — Его лицо покраснело
398	թեև	although, though	хотя	Թեև հոգնած էի, եկա — Хотя я устал, я пришёл	
399	անցյալ	past, last	прошлый; прошлое	Անցյալ տարի ծովում էինք — В прошлом году мы были на море	Անցյալը մոռացիր — Забудь прошлое
400	ոճ	style, manner	стиль	Նա իր ոճն ունի — У него свой стиль	Այս գրողի ոճը պարզ է — У этого писателя простой стиль
401	հուզված	agitated, moved, emotional	взволнованный	Նա շատ հուզված էր — Он был очень взволнован	Հուզված ձայնով խոսեց — Он говорил взволнованным голосом
402	առավել	more, much, far	более; наиболее	առավել կարևոր հարց — более важный вопрос	առավել ևս — тем более
403	անընդհատ	continuous, uninterrupted, unbroken, continual, unceasing	непрерывный; постоянно	Անընդհատ անձրև է գալիս — Всё время идёт дождь	անընդհատ աղմուկ — непрерывный шум
404	անհրաժեշտ	necessary, required	необходимый, нужный	Դա շատ անհրաժեշտ է — Это очень нужно	անհրաժեշտ պայմաններ — необходимые условия
405	թիվ	number	число, цифра	զույգ թիվ — чётное число	մեծ թվով մարդիկ — большое число людей
406	գիտական	scientific	научный	գիտական աշխատանք — научная работа	գիտական հոդված — научная статья
407	փորձել	to try	пробовать, пытаться	Ես կփորձեմ — Я попробую	Փորձիր բացել դուռը — Попробуй открыть дверь
408	ձմեռ	winter	зима	Ձմեռը ցուրտ է — Зима холодная	Ձմռանը ձյուն է գալիս — Зимой идёт снег
409	տաք	warm	тёплый	տաք ջուր — тёплая вода	Այսօր տաք է — Сегодня тепло
410	կատարել	to perform	выполнять, совершать	Նա կատարեց խոստումը — Он выполнил обещание	առաջադրանք կատարել — выполнять задание
411	արագ	fast, quick	быстрый; быстро	Նա արագ վազում է — Он быстро бегает	արագ քայլերով — быстрыми шагами
412	դաս	class; category; order	класс, разряд	կաթնասունների դասը — класс млекопитающих	
413	ճաշ	dinner	обед	համեղ ճաշ — вкусный обед	ճաշ եփել — готовить обед
414	վիճակ	state, condition	состояние, положение	Հիվանդի վիճակը լավ է — Состояние больного хорошее	ծանր վիճակում — в тяжёлом состоянии
415	երգ	song	песня	ժողովրդական երգ — народная песня	երգ երգել — петь песню
416	կարգ	system, order, rank, class; category	порядок; разряд	Սենյակը կարգի բեր — Приведи комнату в порядок	կարգ ու կանոն — порядок и дисциплина
417	հենց	exactly, just	именно, как раз	Հենց դա էի ուզում — Именно это я и хотел	հենց հիմա — прямо сейчас
418	ուսումնասիրություն	research, study, survey	исследование, изучение	գիտական ուսումնասիրություն — научное исследование	
419	իրողություն	reality	реальность, действительность	Դա արդեն իրողություն է — Это уже реальность	
420	հետևյալ	following	следующий	հետևյալ հարցերը — следующие вопросы	Կարդա հետևյալ նախադասությունը — Прочитай следующее предложение
421	ժողովրդախոսակցական	vernacular, colloquial	народно-разговорный	ժողովրդախոսակցական լեզու — народно-разговорный язык	
422	կրթական	educational	образовательный	կրթական համակարգ — образовательная система	կրթական ծրագիր — образовательная программа
423	խումբ	group	группа	ուսանողների խումբ — группа студентов	երաժշտական խումբ — музыкальная группа
424	պատասխանել	to answer	отвечать	Պատասխանիր հարցին — Ответь на вопрос	Նա չպատասխանեց — Он не ответил
425	բռնել	to hold	держать, хватать	Բռնիր ձեռքս — Держи мою руку	Ամուր բռնիր — Держи крепко
426	սիրել	to love, to like	любить	Ես քեզ սիրում եմ — Я тебя люблю	Սիրում եմ սուրճ — Люблю кофе
427	դրա	of that	того	Դրա մասին չգիտեմ — Об этом я не знаю	Դրա համար էլ եկա — Поэтому я и пришёл
428	ուսուցիչ	teacher	учитель	հայերենի ուսուցիչ — учитель армянского	Ուսուցիչը բացատրում է դասը — Учитель объясняет урок
429	կախվել	to hang	висеть, повиснуть	Երեխան կախվեց հոր վզից — Ребёнок повис на шее у отца	
430	փոքրիկ	small	маленький	փոքրիկ երեխա — маленький ребёнок	փոքրիկ տուն — маленький домик
431	նկար	picture, drawing, painting; image	картина, рисунок	գեղեցիկ նկար — красивая картина	նկար նկարել — рисовать картину
432	կողք	side, flank	бок, сторона	Նստիր կողքիս — Сядь рядом со мной	կողք կողքի — бок о бок
433	գրադարան	library	библиотека	Գնում եմ գրադարան — Иду в библиотеку	գրադարանից գիրք վերցնել — взять книгу в библиотеке
434	գնա	go! (imp. of գնալ)	иди!	Գնա տուն — Иди домой	Գնա այստեղից — Уходи отсюда
435	մտածել	to think	думать	Ինչի՞ մասին ես մտածում — О чём ты думаешь?	Լավ մտածիր — Подумай хорошенько
436	առ	plunder, pillage	грабёж, разграбление	Գյուղն առ ու ավար արեցին — Деревню разграбили	
437	այլևս	no longer, not anymore	больше не	Ես այլևս չեմ գա — Я больше не приду	Այլևս ուշ է — Уже поздно
438	մամուլ	pressing machine, press	пресс; печать	մամուլի ասուլիս — пресс-конференция	հիդրավլիկ մամուլ — гидравлический пресс
439	ոչ միայն	not only	не только	Ոչ միայն ես, այլև դու — Не только я, но и ты	
440	տաճար	temple, cathedral, sanctuary	храм	հին տաճար — древний храм	Գառնիի տաճարը — храм Гарни
441	մի շարք	a series, a number of	ряд, несколько	մի շարք հարցեր — ряд вопросов	մի շարք երկրներում — в ряде стран
442	կառույց	structure	сооружение, структура	հին կառույց — старое сооружение	պետական կառույցներ — государственные структуры
443	տարբերակ	variant, version, variety	вариант, версия	Սա լավ տարբերակ է — Это хороший вариант	նոր տարբերակ — новая версия
444	վեզիր	vizier	визирь	Վեզիրը եկավ թագավորի մոտ — Визирь пришёл к царю	
445	հնչյուն	sound	звук (речи)	հայերենի հնչյունները — звуки армянского языка	
446	ձայնավոր	vowel	гласный	ձայնավոր հնչյուն — гласный звук	
447	ստեղծել	to create	создавать	Նա նոր երգ ստեղծեց — Он создал новую песню	պայմաններ ստեղծել — создать условия
448	հիանալի	wonderful	прекрасный, чудесный	հիանալի եղանակ — прекрасная погода	Հիանալի է — Прекрасно
449	բերան	mouth	рот	Բացիր բերանդ — Открой рот	
450	հանել	take off	снимать; вынимать	Հանիր վերարկուդ — Сними пальто	Փողը գրպանից հանեց — Он вынул деньги из кармана
451	միասին	together	вместе	Գնանք միասին — Пойдём вместе	Մենք միասին ենք աշխատում — Мы работаем вместе
452	կամաց	slow	медленно; тихо	Կամաց խոսիր — Говори тише	Կամաց քայլիր — Иди медленно
453	ծաղիկ	flower	цветок	գեղեցիկ ծաղիկներ — красивые цветы	ծաղիկներ նվիրել — дарить цветы
454	ոսկի	gold	золото	մաքուր ոսկի — чистое золото	Ոսկին թանկացել է — Золото подорожало
455	շուտ	soon, quickly, early	скоро, быстро, рано	Շուտ արի — Приходи скорее	Առավոտյան շուտ արթնացա — Я проснулся рано утром
456	վաղը	tomorrow	завтра	Վաղը կհանդիպենք — Завтра встретимся	վաղը առավոտյան — завтра утром
457	դրամ	money	деньги; драм	Դրամ չունեմ — У меня нет денег	հազար դրամ — тысяча драмов
458	երեկո	evening	вечер	Բարի երեկո — Добрый вечер	Երեկոյան տանն ենք — Вечером мы дома
459	յոթ	seven	семь	յոթ օր — семь дней	Ժամը յոթն է — Сейчас семь часов
460	բա	well, what about	ну, а как же	Բա դո՞ւ — Ну а ты?	Բա ես ի՞նչ անեմ — А мне что делать?
461	ծով	sea	море	Ծովը հանգիստ է — Море спокойное	ծովի ափին — на берегу моря
462	լի	full , packed	полный	կյանքով լի — полный жизни	Դահլիճը լի էր մարդկանցով — Зал был полон людей
463	սուրճ	coffee	кофе	մի բաժակ սուրճ — чашка кофе	Սուրճ խմե՞նք — Выпьем кофе?
464	մայրենի	maternal	родной	մայրենի լեզու — родной язык	
465	քար	stone, rock	камень	մեծ քար — большой камень	
466	աստված	god	бог	Աստված իմ — Боже мой	Փառք Աստծո — Слава Богу
467	բարձրագույն	highest, supreme	высший	բարձրագույն կրթություն — высшее образование	բարձրագույն ուսումնական հաստատություն — высшее учебное заведение
468	հող	earth	земля, почва	բերրի հող — плодородная земля	հայրենի հող — родная земля
469	բավական	enough, sufficient	достаточно, довольно	Բավական է — Хватит	բավական մեծ — довольно большой
470	որդի	son	сын	Նա երկու որդի ունի — У него два сына	
471	հեռանալ	to go away	уходить, удаляться	Նա հեռացավ քաղաքից — Он уехал из города	Մի հեռացիր — Не уходи
472	կրկին	again	снова, опять	Կրկին հանդիպեցինք — Мы снова встретились	Փորձիր կրկին — Попробуй снова
473	սկսել	to start	начинать	Նա սկսեց աշխատել — Он начал работать	աշխատանքը սկսել — начать работу
474	թող	let (him/it/them); may	пусть	Թող գա — Пусть придёт	Թող այդպես լինի — Пусть будет так
475	ցանկանալ	to wish	желать, хотеть	Ի՞նչ եք ցանկանում — Что вы желаете?	Ցանկանում եմ ձեզ հաջողություն — Желаю вам успеха
476	գրականություն	literature	литература	հայ գրականություն — армянская литература	ժամանակակից գրականություն — современная литература
477	խնդրել	to request, to ask	просить	Խնդրում եմ, օգնիր ինձ — Пожалуйста, помоги мне	Ներողություն եմ խնդրում — Прошу прощения
478	բարով	with pleasure, with love, willingly	с добром, охотно	Բարով եկաք — Добро пожаловать	Բարով մաշես — Носи на здоровье
479	ուրեմն	so, then	значит, итак	Ուրեմն համաձայն ես — Значит, ты согласен	
480	ցավել	to ache, to hurt; (ցավում եմ) to be sorry	болеть; (ցավում եմ) сожалеть	Գլուխս ցավում է — У меня болит голова	Ցավում եմ — Сожалею
481	ծանր	heavy	тяжёлый	ծանր պայուսակ — тяжёлая сумка	ծանր աշխատանք — тяжёлая работа
482	քամի	wind	ветер	Այսօր քամի է — Сегодня ветрено	ցուրտ քամի — холодный ветер
483	ֆրանսիա	France	Франция	Նա ապրում է Ֆրանսիայում — Он живёт во Франции	
484	ելնել	to go out, to rise	выходить, подниматься	Նա տնից դուրս ելավ — Он вышел из дома	դրանից ելնելով — исходя из этого
485	մանուկ	baby, infant; child	ребёнок, младенец	Մանուկները խաղում են բակում — Дети играют во дворе	
486	ձայն	sound	звук; голос	Ի՞նչ ձայն է — Что за звук?	բարձր ձայնով — громким голосом
487	պակաս	incomplete; missing; insufficient	недостающий; меньше	Մի բան պակաս է — Чего-то не хватает	ոչ պակաս կարևոր — не менее важный
488	հանդիպում	meeting, encounter	встреча	կարևոր հանդիպում — важная встреча	Հանդիպումը ժամը հինգին է — Встреча в пять часов
489	հետևանք	consequence	последствие	ծանր հետևանքներ — тяжёлые последствия	
490	հասնել	to reach	достигать, доходить	Հասանք տուն — Мы добрались до дома	նպատակին հասնել — достичь цели
491	կենտրոն	center	центр	քաղաքի կենտրոն — центр города	Կենտրոնում եմ ապրում — Я живу в центре
492	գոյական	noun (grammatical term)	существительное	Գոյականը հոլովվում է — Существительное склоняется	հատուկ գոյական — имя собственное
493	միջին	middle	средний	միջին տարիքի մարդ — человек среднего возраста	միջին դպրոց — средняя школа
494	իշխան	prince, ruler, ishkhan	князь; ишхан	հայ իշխաններ — армянские князья	Սևանի իշխան — севанская форель (ишхан)
495	բաղաձայն	consonant	согласный	խուլ բաղաձայն — глухой согласный	ձայնեղ բաղաձայն — звонкий согласный
496	առանձնահատկություն	peculiarity, distinctive feature	особенность	լեզվի առանձնահատկությունները — особенности языка	
497	հանրակրթական	general-education, public-school	общеобразовательный	հանրակրթական դպրոց — общеобразовательная школа	
498	հնարավորություն	chance	возможность	լավ հնարավորություն — хорошая возможность	Հնարավորություն չկա — Нет возможности
499	ծեր	old	старый, пожилой	ծեր կին — старая женщина	Նա արդեն ծեր է — Он уже стар
500	թույլ	weak	слабый	թույլ առողջություն — слабое здоровье	Նա շատ թույլ է — Он очень слаб
501	ազգանուն	surname	фамилия	Ի՞նչ է ձեր ազգանունը — Как ваша фамилия?	
502	դասարան	classroom, schoolroom	класс (школьный)	Մեր դասարանը մեծ է — Наш класс большой	առաջին դասարանի աշակերտ — ученик первого класса
503	իհարկե	of course	конечно, разумеется	Իհարկե կգամ — Конечно, приду	Իհարկե ոչ — Конечно, нет
504	պարոն	mister, sir (պարոն Սարյան — Mr. Saryan)	господин	Բարև ձեզ, պարոն Սարյան — Здравствуйте, господин Сарян	
505	անշուշտ	certainly, undoubtedly	конечно, безусловно	Անշուշտ, դու ճիշտ ես — Безусловно, ты прав	
506	վեց	six	шесть	վեց ամիս — шесть месяцев	Ժամը վեցն է — Сейчас шесть часов
507	կարծիք	opinion	мнение	Իմ կարծիքով դա ճիշտ է — По-моему, это правильно	կարծիք հայտնել — высказать мнение
508	տարիք	age	возраст	Նա իմ տարիքի է — Он моего возраста	տարիքով մեծ — старше по возрасту
509	հյուր	guest, visitor	гость	Այսօր հյուրեր ունենք — Сегодня у нас гости	հյուր գնալ — идти в гости
510	երրորդ	thirdly	в-третьих; третий	Երրորդ՝ ժամանակ չկա — В-третьих, времени нет	երրորդ հարկում — на третьем этаже
511	ծնվել	to be born	родиться	Ես ծնվել եմ Երևանում — Я родился в Ереване	Ե՞րբ ես ծնվել — Когда ты родился?
512	նույնպես	also, too, as well	тоже, также	Ես նույնպես — Я тоже	Նա նույնպես եկավ — Он тоже пришёл
513	սև	black	чёрный	սև կատու — чёрная кошка	սև հաց — чёрный хлеб
514	հիշել	to remember; to recall	помнить; вспоминать	Ինձ հիշո՞ւմ ես — Ты меня помнишь?	Հանկարծ հիշեցի — Вдруг я вспомнил
515	ընտանիք	family	семья	մեծ ընտանիք — большая семья	ընտանիք կազմել — создать семью
516	շնորհիվ	thanks to, owing to, due to	благодаря	Քո շնորհիվ հաջողվեց — Благодаря тебе получилось	
517	վեպ	novel; romance	роман	պատմական վեպ — исторический роман	Նա վեպ է գրում — Он пишет роман
518	բայ	verb	глагол	Բայը խոնարհվում է — Глагол спрягается	օժանդակ բայ — вспомогательный глагол
519	հնարավոր	possible	возможный	Դա հնարավոր է — Это возможно	հնարավոր սխալներ — возможные ошибки
520	հաստատություն	institution, establishment	учреждение	պետական հաստատություն — государственное учреждение	ուսումնական հաստատություն — учебное заведение
521	արժեք	value, worth, cost, price	ценность, стоимость	Դա մեծ արժեք ունի — Это имеет большую ценность	ապրանքի արժեքը — стоимость товара
522	փոխառություն	loan	заимствование; заём	ռուսերենից փոխառություն — заимствование из русского	բանկից փոխառություն վերցնել — взять заём в банке
523	մակարդակ	level	уровень	բարձր մակարդակ — высокий уровень	ծովի մակարդակից բարձր — выше уровня моря
524	նյութ	matter, substance; material, stuff	вещество; материал	քիմիական նյութ — химическое вещество	շինարարական նյութեր — строительные материалы
525	ժարգոն	jargon	жаргон	երիտասարդական ժարգոն — молодёжный жаргон	
526	ֆրանսերեն	French	французский	Նա ֆրանսերեն է խոսում — Он говорит по-французски	ֆրանսերեն սովորել — учить французский
527	օդ	air	воздух	մաքուր օդ — чистый воздух	Օդը զով է — Воздух прохладный
528	հայացք	look, glance, gaze	взгляд	առաջին հայացքից — с первого взгляда	Նրա հայացքը տխուր էր — Его взгляд был грустным
529	ամեն ինչ	everything	всё	Ամեն ինչ լավ է — Всё хорошо	Ամեն ինչ պատրաստ է — Всё готово
530	ութ	eight	восемь	ութ ժամ — восемь часов	ութ տարեկան երեխա — восьмилетний ребёнок
531	պատրաստ	prepared, ready	готовый	Ես պատրաստ եմ — Я готов	Ճաշը պատրաստ է — Обед готов
532	ցավ	pain, ache	боль	սուր ցավ — острая боль	ատամի ցավ — зубная боль
533	օգնել	to help, to assist, to aid	помогать	Օգնիր ինձ — Помоги мне	Նա ինձ շատ օգնեց — Он мне очень помог
534	ռուսաստան	Russia	Россия	Նա ապրում է Ռուսաստանում — Он живёт в России	
535	ճանապարհ	road, path, way, route	дорога, путь	երկար ճանապարհ — долгая дорога	Բարի ճանապարհ — Счастливого пути
536	զարկել	to hit, to strike	ударить, бить	Սիրտն արագ էր զարկում — Сердце быстро билось	
537	ռուս	Russian	русский	Նա ռուս է — Он русский	ռուս գրականություն — русская литература
538	գառ	lamb	ягнёнок	Գառը արածում է — Ягнёнок пасётся	
539	սենյակ	room	комната	լուսավոր սենյակ — светлая комната	Իմ սենյակը մեծ է — Моя комната большая
540	ճանաչում	recognition	признание; узнавание	միջազգային ճանաչում — международное признание	Նա մեծ ճանաչում ձեռք բերեց — Он получил широкое признание
541	վաղուց	a long time ago, long ago	давно	Վաղուց իրար չենք տեսել — Мы давно не виделись	Դա վաղուց էր — Это было давно
542	երբեք	never	никогда	Ես դա երբեք չեմ մոռանա — Я этого никогда не забуду	
543	դար	century, 100 years	век	քսանմեկերորդ դար — двадцать первый век	անցյալ դարում — в прошлом веке
544	վազ	run, running	бег	Երեխաները վազ են տալիս — Дети бегают	
545	նպաստել	to contribute, to foster	способствовать, содействовать	Սպորտը նպաստում է առողջությանը — Спорт способствует здоровью	
546	կրակ	fire	огонь	Կրակ վառեցինք — Мы разожгли огонь	Կրակը մարեց — Огонь погас
547	ջան	exclamation of joy, pleasure	джан (обращение)	Արմեն ջան, ինչպե՞ս ես — Армен джан, как ты?	Մամա ջան — мама дорогая
548	սովորական	usual, ordinary	обычный	սովորական օր — обычный день	սովորական մարդիկ — обычные люди
549	նշանակություն	meaning, significance	значение	Դա մեծ նշանակություն ունի — Это имеет большое значение	բառի նշանակությունը — значение слова
550	այբուբեն	alphabet	алфавит	հայկական այբուբեն — армянский алфавит	Այբուբենն ունի 39 տառ — В алфавите 39 букв
551	պատասխան	answer	ответ	ճիշտ պատասխան — правильный ответ	Պատասխան չկա — Ответа нет
552	այցելել	to visit	посещать	Մենք այցելեցինք թանգարան — Мы посетили музей	հիվանդին այցելել — навестить больного
553	շուկա	market	рынок	Գնում եմ շուկա — Иду на рынок	Շուկայում միրգ շատ կա — На рынке много фруктов
554	տեսակ	variety, sort	вид, сорт	տարբեր տեսակի մրգեր — разные виды фруктов	հացի նոր տեսակ — новый сорт хлеба
555	գիտնական	scientist	учёный	հայտնի գիտնական — известный учёный	
556	վերջապես	finally	наконец	Վերջապես եկար — Наконец-то ты пришёл	
557	ուժեղ	strong	сильный	ուժեղ մարդ — сильный человек	ուժեղ ցավ — сильная боль
558	կանչել	to call	звать, вызывать	Մայրդ քեզ կանչում է — Мама тебя зовёт	շտապօգնություն կանչել — вызвать скорую помощь
559	հարևան	neighbor	сосед	Հարևանները աղմկում են — Соседи шумят	հարևան երկրներ — соседние страны
560	քսան	twenty	двадцать	քսան տարի — двадцать лет	Նա քսան տարեկան է — Ему двадцать лет
561	շնորհակալ	thankful	благодарный	Շնորհակալ եմ — Благодарю вас	Շատ շնորհակալ եմ — Большое спасибо
562	գինի	wine	вино	կարմիր գինի — красное вино	մի բաժակ գինի — бокал вина
563	ծանոթ	familiar, known	знакомый	ծանոթ դեմք — знакомое лицо	Մենք վաղուց ենք ծանոթ — Мы давно знакомы
564	դիմաց	opposite, facing, against	напротив	Նստիր իմ դիմաց — Сядь напротив меня	տան դիմաց — напротив дома
565	առատ	abundant, abounding, plentiful, copious	обильный, богатый	առատ բերք — обильный урожай	Սեղանն առատ էր — Стол был богатым
566	լեռ	mountain, mount	гора	բարձր լեռներ — высокие горы	Լեռներում ձյուն է — В горах снег
567	որոշել	to decide	решать	Ես որոշեցի մնալ — Я решил остаться	Ինքդ որոշիր — Решай сам
568	լվանալ	to wash	мыть	Լվա ձեռքերդ — Помой руки	ամանները լվանալ — мыть посуду
569	ական	sap, tunnel	подкоп; мина	Ճանապարհին ական կար — На дороге была мина	
570	բառարան	dictionary	словарь	հայերեն-ռուսերեն բառարան — армянско-русский словарь	Բառը փնտրիր բառարանում — Найди слово в словаре
571	տուր	give! (imp. of տալ)	дай!	Գիրքը տուր ինձ — Дай мне книгу	Ձեռքդ տուր — Дай руку
572	տեր	lord, owner; Mr.	господин, владелец	տան տերը — хозяин дома	Խոսքիդ տեր կանգնիր — Отвечай за своё слово
573	քաշել	to pull, to drag	тянуть, тащить	Դուռը քաշիր — Потяни дверь	Ծխախոտ է քաշում — Он курит
574	առավոտ	morning	утро	վաղ առավոտից — с раннего утра	Առավոտը զով էր — Утро было прохладным
575	անկյուն	angle	угол	փողոցի անկյունում — на углу улицы	ուղիղ անկյուն — прямой угол
576	իբրև	as, like, in quality of	как, в качестве	իբրև նվեր — в качестве подарка	Աշխատում է իբրև ուսուցիչ — Работает учителем
577	ամիս	month	месяц	անցյալ ամիս — в прошлом месяце	Երեք ամիս անց — Через три месяца
578	զգալ	to feel, to sense	чувствовать	Ես ինձ լավ եմ զգում — Я чувствую себя хорошо	Հոգնածություն եմ զգում — Чувствую усталость
579	ետ	back, backward	назад	Ետ նայեց — Он оглянулся назад	Գիրքը ետ տուր — Верни книгу
580	ման	spinning	хождение, кружение	Այգում ման էինք գալիս — Мы гуляли в парке	Քեզ էի ման գալիս — Я тебя искал
581	միմյանց	each other, one another	друг друга	Նրանք սիրում են միմյանց — Они любят друг друга	միմյանց հետ — друг с другом
582	ինքը	he/she (emphatic)	он/она (сам)	Ինքը գիտի — Он сам знает	Ինքն էլ չգիտի — Он и сам не знает
583	ծագում	origin	происхождение	բառի ծագումը — происхождение слова	Նա հայկական ծագում ունի — У него армянское происхождение
584	ներկայացնել	to present, introduce	представить, представлять	Թույլ տվեք ներկայացնել — Разрешите представить	նոր ծրագիր ներկայացնել — представить новую программу
585	միջազգային	international	международный	միջազգային կոնֆերանս — международная конференция	միջազգային հարաբերություններ — международные отношения
586	հանգամանք	circumstance	обстоятельство	Այս հանգամանքը կարևոր է — Это обстоятельство важно	հանգամանքները պարզել — выяснить обстоятельства
587	համապատասխան	appropriate, proper	соответствующий	համապատասխան որոշում — соответствующее решение	
588	միաժամանակ	at the same time	одновременно	Նրանք միաժամանակ խոսում են — Они говорят одновременно	
589	անհատ	individual	личность, индивид	յուրաքանչյուր անհատ — каждый индивид	
590	դարձված	idiom	оборот (речи)	դերբայական դարձված — причастный оборот	
591	կիրառում	application, use	применение, использование	գործնական կիրառում — практическое применение	Բառը լայն կիրառում ունի — Слово широко употребляется
